a, b
56718587433,30750989823
76456162968,25866335811
82534038485,23537275010
88796995092,19892546541
90247922345,17993247580
90146117117,17072051951
90457410673,17464003864
89967660859,18280991947
87211742250,20129960363
73610634839,24297933220
56695326238,28988486108
48110601866,32111458880
44406878766,33188647834
43050199070,33948498595
36961508495,34901406545
31555022712,34200387221
27467342825,33252484732
25041832565,34298425351
21160963384,32780824184
19820358830,32701250725
19088172849,32904910111
23204098006,33233555866
26290215100,32345769427
42380697686,28613426442
70062696507,26075574488
80545779973,23501583388
92844295517,20933264119
96880965179,18261475109
90932927706,17509082781
91291134373,17441156446
91713661478,16939250253
90959467260,17636476728
79385942062,20066593160
62489604464,24111654735
56243244765,29049545420
50040519394,32633749081
46874882633,33161406521
41135776475,34189107029
33502564447,33809448266
28113068984,34698154299
24938212968,35193072263
21893717932,36253566359
20344443618,36403966133
19757922807,38217780559
19588672617,39458073129
21350728448,38298035420
34965445638,34267973834
58397356904,28731422198
79198224742,24227249317
89726734078,20166270825
92701958472,17930418286
89941544749,17323729246
93225272251,16997353864
93840519305,18769236944
91765453742,25628529195
84996841280,40272090905
70779170417,65385393850
53526087319,81177675814
46784929778,86953500358
44815865828,89999003212
43427241554,89353133704
35995811572,91720130739
29517833610,92693533335
25972915242,88028637946
22076654385,77916940370
18612412211,62930249732
17578929475,48573944939
17890609373,43681881772
19914942830,45079040820
24541346137,42561941101
41746859874,35301165456
68945777025,29048949293
83169448382,25852728033
86786075089,20240655910
89042055096,19124454023
86097518435,17310410327
88060769558,17763275240
82790015630,19639784058
77013585468,29136134575
69808192637,53482487731
54702484989,75792574816
44434741117,84783523066
41097148377,89979732872
39589080464,90410764791
38201899367,90647459122
32410734851,94351817197
28470110617,93440478269
24499437605,86441097495
21541009914,71610751830
19911908989,55475825052
19004052140,45641548343
18433033394,42998363604
18084021621,41066697564
18353670284,39156302500
20552677072,35711969028
24742386908,26518128134
29869136393,22129294260
32991125146,19814404111
35455444894,17621019256
34495523400,16789547703
36632467202,17412988896
35770881326,22107956308
36997643697,35413766557
37444324377,54202014860
36945904309,73644478378
35656883587,86914692017
35206119914,95130616325
35164625350,94752210602
33085234266,96749758842
,94146117788
,87724228491
